tiempo,paso,n_part
14.559037,0.019,50
14.580037,0.021,50
14.601037,0.021,50
14.622037,0.021,50
14.641037,0.019,50
14.663037,0.022,50
14.682037,0.019,50
14.700037,0.018,50
14.721037,0.021,50
14.740037,0.019,50
14.759037,0.019,50
14.781037,0.022,50
14.800037,0.019,50
14.820038,0.02,50
14.842038,0.022,50
14.860038,0.018,50
14.882038,0.022,2500
14.901038,0.019,2500
14.928039,0.027,2500
14.954039,0.026,2500
14.980039,0.026,2500
15.004039,0.024,2500
15.030039,0.026,2500
15.056039,0.026,2500
15.081038,0.025,2500
15.1070385,0.026,2500
15.134039,0.027,2500
15.161039,0.027,2500
15.187039,0.026,2500
15.21404,0.027,2500
15.239039,0.025,2500
15.265039,0.026,2500
15.291039,0.026,2500
15.3170395,0.026,2500
15.342039,0.025,2500
15.368039,0.026,2500
15.394039,0.026,2500
15.420039,0.026,2500
15.446039,0.026,2500
15.472039,0.026,2500
15.498039,0.026,2500
15.524039,0.026,2500
15.550039,0.026,2500
15.576039,0.026,2500
15.60304,0.027,2500
15.63104,0.028,2500
15.65704,0.026,2500
15.68304,0.026,0
15.708039,0.025,0
15.73004,0.022,0
15.75004,0.02,0
15.77204,0.022,0
15.79004,0.018,0
15.81104,0.021,0
15.82904,0.018,0
15.8500395,0.021,0
15.87204,0.022,0
15.890039,0.018,0
15.9090395,0.019,0
15.92904,0.02,0
15.95104,0.022,0
15.97004,0.019,0
15.98904,0.019,0
16.01004,0.021,0
16.03004,0.02,0
16.050041,0.02,0
16.06904,0.019,0
16.08904,0.02,0
16.109041,0.02,0
16.129042,0.02,0
16.149042,0.02,0
16.169043,0.02,0
16.189043,0.02,0
16.209044,0.02,0
16.229044,0.02,0
16.249044,0.02,0
16.269045,0.02,0
16.289045,0.02,0
16.309046,0.02,0
16.329046,0.02,0
16.350046,0.021,0
16.371046,0.021,0
16.391047,0.02,0
16.409046,0.018,0
16.429047,0.02,0
16.451046,0.022,0
16.469046,0.018,0
16.489046,0.02,0
16.509047,0.02,0
16.531046,0.022,0
16.552046,0.021,0
16.569046,0.017,0
16.592047,0.023,0
16.609047,0.017,0
16.631046,0.022,0
16.649046,0.018,0
16.669046,0.02,0
16.690046,0.021,0
16.709045,0.019,0
16.730045,0.021,0
16.749044,0.019,0
16.771044,0.022,0
16.790043,0.019,0
16.810043,0.02,0
16.831043,0.021,0
16.850042,0.019,0
16.869041,0.019,0
16.889042,0.02,0
16.912043,0.023,0
16.930042,0.018,0
16.950043,0.02,0
16.972042,0.022,0
16.990042,0.018,0
17.00904,0.019,0
17.03004,0.021,0
17.04804,0.018,0
17.06904,0.021,0
17.092041,0.023,0
17.109041,0.017,0
17.132042,0.023,0
17.150042,0.018,0
17.171041,0.021,0
17.189041,0.018,0
17.209042,0.02,0
17.232042,0.023,0
17.251041,0.019,0
17.269041,0.018,0
17.290041,0.021,0
17.310041,0.02,0
17.33204,0.022,0
17.349041,0.017,0
17.37004,0.021,0
17.39204,0.022,0
17.41104,0.019,0
17.43204,0.021,0
17.450039,0.018,0
17.47004,0.02,0
17.489038,0.019,0
17.509039,0.02,0
17.531038,0.022,0
17.549038,0.018,0
17.570038,0.021,0
17.589037,0.019,0
17.610037,0.021,0
17.630037,0.02,0
17.651037,0.021,0
17.669037,0.018,0
17.691036,0.022,0
17.711037,0.02,0
17.729036,0.018,0
17.749037,0.02,0
17.769037,0.02,0
17.791037,0.022,0
17.811037,0.02,0
17.832037,0.021,0
17.850037,0.018,0
17.870037,0.02,0
17.892036,0.022,0
